통계명,항목명1,통계코드,항목코드1,항목코드2,항목명2,항목코드3,항목명3,단위,URL
1.1.주요 통화금융지표,예금은행요구불예금회전율,010Y002,AAAA5,,,,,회/월,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA5//
1.1.주요 통화금융지표,화폐발행잔액(말잔),010Y002,AAAA11,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA11//
1.1.주요 통화금융지표,화폐발행잔액(평잔),010Y002,AAAA12,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA12//
1.1.주요 통화금융지표,본원통화(말잔),010Y002,AAAA13,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA13//
1.1.주요 통화금융지표,본원통화(평잔),010Y002,AAAA14,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA14//
1.1.주요 통화금융지표,"M1(협의통화, 말잔)",010Y002,AAAA15,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA15//
1.1.주요 통화금융지표,"M1(협의통화, 평잔)",010Y002,AAAA16,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA16//
1.1.주요 통화금융지표,"M2(광의통화, 말잔)",010Y002,AAAA17,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA17//
1.1.주요 통화금융지표,"M2(광의통화, 평잔)",010Y002,AAAA18,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA18//
1.1.주요 통화금융지표,Lf(말잔),010Y002,AAAA1D,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA1D//
1.1.주요 통화금융지표,Lf(평잔),010Y002,AAAA1E,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA1E//
1.1.주요 통화금융지표,계절조정Lf( 말잔 ),010Y002,AAAA1L,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA1L//
1.1.주요 통화금융지표,계절조정Lf( 평잔 ),010Y002,AAAA1M,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA1M//
1.1.주요 통화금융지표,예금은행총예금(말잔),010Y002,AAAA21,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA21//
1.1.주요 통화금융지표,예금은행총예금(평잔),010Y002,AAAA22,,,,,십억원,http://ecos.bok.or.kr/api/StatisticSearch/APICODE2021/xml/kr/1/100000/010Y002/MM/190001/201905/AAAA22//
